event_id,measure_type,duration_min,block_size,is_full_domain,hist_file,pgw_file,hist_value,pgw_value,diff,ratio,units
25,intensity,20,0,1,WRFrain_noPGW_HPE25.mat,WRFrain_PGW_V3_HPE25.mat,0.679358544,0.620365445,-0.058993099,0.913163528,mm_per_hr
26,intensity,20,0,1,WRFrain_noPGW_HPE26.mat,WRFrain_PGW_V3_HPE26.mat,0.271194693,0.244513621,-0.026681071,0.901616543,mm_per_hr
27,intensity,20,0,1,WRFrain_noPGW_HPE27.mat,WRFrain_PGW_V3_HPE27.mat,0.40124532,0.504713463,0.103468143,1.257867538,mm_per_hr
28,intensity,20,0,1,WRFrain_noPGW_HPE28.mat,WRFrain_PGW_V3_HPE28.mat,0.428373402,0.4291281,0.000754698,1.001761776,mm_per_hr
29,intensity,20,0,1,WRFrain_noPGW_HPE29.mat,WRFrain_PGW_V3_HPE29.mat,0.321348716,0.162273497,-0.159075219,0.504976336,mm_per_hr
30,intensity,20,0,1,WRFrain_noPGW_HPE30.mat,WRFrain_PGW_V3_HPE30.mat,0.457223652,0.301162732,-0.15606092,0.658677063,mm_per_hr
31,intensity,20,0,1,WRFrain_noPGW_HPE31.mat,WRFrain_PGW_V3_HPE31.mat,0.199198142,0.181450789,-0.017747353,0.910906032,mm_per_hr
32,intensity,20,0,1,WRFrain_noPGW_HPE32.mat,WRFrain_PGW_V3_HPE32.mat,0.363740483,0.312996138,-0.050744344,0.860492998,mm_per_hr
33,intensity,20,0,1,WRFrain_noPGW_HPE33.mat,WRFrain_PGW_V3_HPE33.mat,0.382396472,0.561841077,0.179444605,1.469263234,mm_per_hr
34,intensity,20,0,1,WRFrain_noPGW_HPE34.mat,WRFrain_PGW_V3_HPE34.mat,0.548508209,0.586128728,0.037620519,1.068586976,mm_per_hr
35,intensity,20,0,1,WRFrain_noPGW_HPE35.mat,WRFrain_PGW_V3_HPE35.mat,0.502839148,0.564867593,0.062028445,1.123356436,mm_per_hr
36,intensity,20,0,1,WRFrain_noPGW_HPE36.mat,WRFrain_PGW_V3_HPE36.mat,0.781131845,0.868404955,0.08727311,1.111726478,mm_per_hr
37,intensity,20,0,1,WRFrain_noPGW_HPE37.mat,WRFrain_PGW_V3_HPE37.mat,0.902934936,0.761175659,-0.141759277,0.84300167,mm_per_hr
38,intensity,20,0,1,WRFrain_noPGW_HPE38.mat,WRFrain_PGW_V3_HPE38.mat,0.388001733,0.25875634,-0.129245393,0.666894805,mm_per_hr
39,intensity,20,0,1,WRFrain_noPGW_HPE39.mat,WRFrain_PGW_V3_HPE39.mat,0.308562904,0.124036115,-0.184526789,0.401979995,mm_per_hr
40,intensity,20,0,1,WRFrain_noPGW_HPE40.mat,WRFrain_PGW_V3_HPE40.mat,0.158847469,0.139258352,-0.019589117,0.876679703,mm_per_hr
41,intensity,20,0,1,WRFrain_noPGW_HPE41.mat,WRFrain_PGW_V3_HPE41.mat,1.431998226,1.989799678,0.557801453,1.389526637,mm_per_hr
1,intensity,30,0,1,WRFrain_noPGW_HPE01.mat,WRFrain_PGW_V3_HPE01.mat,0.839019663,1.154227899,0.315208237,1.375686352,mm_per_hr
2,intensity,30,0,1,WRFrain_noPGW_HPE02.mat,WRFrain_PGW_V3_HPE02.mat,0.615490148,0.714799785,0.099309637,1.161350489,mm_per_hr
3,intensity,30,0,1,WRFrain_noPGW_HPE03.mat,WRFrain_PGW_V3_HPE03.mat,0.897227166,0.731481041,-0.165746124,0.815268495,mm_per_hr
4,intensity,30,0,1,WRFrain_noPGW_HPE04.mat,WRFrain_PGW_V3_HPE04.mat,0.684384389,0.812248124,0.127863736,1.186830293,mm_per_hr
