event_id,scenario,threshold_mm_per_hr,event_file,mean_wet_fraction,units
12,future,1,WRFrain_PGW_V3_HPE12.mat,0.0357870654597927,fraction
12,historical,2,WRFrain_noPGW_HPE12.mat,0.0315905330359876,fraction
12,future,2,WRFrain_PGW_V3_HPE12.mat,0.0215836765927675,fraction
12,historical,5,WRFrain_noPGW_HPE12.mat,0.00908701735974463,fraction
12,future,5,WRFrain_PGW_V3_HPE12.mat,0.00778842975206612,fraction
12,historical,7.5,WRFrain_noPGW_HPE12.mat,0.00413355634264725,fraction
12,future,7.5,WRFrain_PGW_V3_HPE12.mat,0.0042391403209585,fraction
12,historical,10,WRFrain_noPGW_HPE12.mat,0.00222871135598408,fraction
12,future,10,WRFrain_PGW_V3_HPE12.mat,0.00261219992129083,fraction
12,historical,20,WRFrain_noPGW_HPE12.mat,0.000377008177008177,fraction
12,future,20,WRFrain_PGW_V3_HPE12.mat,0.000606156806156806,fraction
12,historical,50,WRFrain_noPGW_HPE12.mat,8.44811753902663e-06,fraction
12,future,50,WRFrain_PGW_V3_HPE12.mat,2.36652236652237e-05,fraction
12,historical,60,WRFrain_noPGW_HPE12.mat,2.68922996195723e-06,fraction
12,future,60,WRFrain_PGW_V3_HPE12.mat,8.91599982509073e-06,fraction
12,historical,80,WRFrain_noPGW_HPE12.mat,2.66736630372994e-07,fraction
12,future,80,WRFrain_PGW_V3_HPE12.mat,1.32931042021951e-06,fraction
12,historical,100,WRFrain_noPGW_HPE12.mat,2.18636582272946e-08,fraction
12,future,100,WRFrain_PGW_V3_HPE12.mat,1.92400192400192e-07,fraction
12,historical,120,WRFrain_noPGW_HPE12.mat,0,fraction
12,future,120,WRFrain_PGW_V3_HPE12.mat,4.37273164545892e-09,fraction
12,historical,150,WRFrain_noPGW_HPE12.mat,0,fraction
12,future,150,WRFrain_PGW_V3_HPE12.mat,0,fraction
13,historical,0.1,WRFrain_noPGW_HPE13.mat,0.0282082644628099,fraction
13,future,0.1,WRFrain_PGW_V3_HPE13.mat,0.0129753902662994,fraction
13,historical,1,WRFrain_noPGW_HPE13.mat,0.011272277318641,fraction
13,future,1,WRFrain_PGW_V3_HPE13.mat,0.00490823691460055,fraction
13,historical,2,WRFrain_noPGW_HPE13.mat,0.00727840220385675,fraction
13,future,2,WRFrain_PGW_V3_HPE13.mat,0.00325762167125803,fraction
13,historical,5,WRFrain_noPGW_HPE13.mat,0.00315918273645546,fraction
13,future,5,WRFrain_PGW_V3_HPE13.mat,0.00162039485766759,fraction
13,historical,7.5,WRFrain_noPGW_HPE13.mat,0.00191498622589532,fraction
13,future,7.5,WRFrain_PGW_V3_HPE13.mat,0.00109893480257117,fraction
13,historical,10,WRFrain_noPGW_HPE13.mat,0.00129483930211203,fraction
13,future,10,WRFrain_PGW_V3_HPE13.mat,0.000799191919191919,fraction
13,historical,20,WRFrain_noPGW_HPE13.mat,0.000409660238751148,fraction
13,future,20,WRFrain_PGW_V3_HPE13.mat,0.000303737373737374,fraction
13,historical,50,WRFrain_noPGW_HPE13.mat,2.9742883379247e-05,fraction
13,future,50,WRFrain_PGW_V3_HPE13.mat,3.12764003673095e-05,fraction
13,historical,60,WRFrain_noPGW_HPE13.mat,1.33057851239669e-05,fraction
13,future,60,WRFrain_PGW_V3_HPE13.mat,1.41965105601469e-05,fraction
13,historical,80,WRFrain_noPGW_HPE13.mat,2.94765840220386e-06,fraction
13,future,80,WRFrain_PGW_V3_HPE13.mat,2.62626262626263e-06,fraction
13,historical,100,WRFrain_noPGW_HPE13.mat,6.24426078971534e-07,fraction
13,future,100,WRFrain_PGW_V3_HPE13.mat,5.4178145087236e-07,fraction
13,historical,120,WRFrain_noPGW_HPE13.mat,9.18273645546373e-08,fraction
13,future,120,WRFrain_PGW_V3_HPE13.mat,4.59136822773186e-08,fraction
13,historical,150,WRFrain_noPGW_HPE13.mat,9.18273645546373e-09,fraction
13,future,150,WRFrain_PGW_V3_HPE13.mat,0,fraction
14,historical,0.1,WRFrain_noPGW_HPE14.mat,0.100567755476846,fraction
14,future,0.1,WRFrain_PGW_V3_HPE14.mat,0.0590357274039092,fraction
14,historical,1,WRFrain_noPGW_HPE14.mat,0.0477116030434212,fraction
14,future,1,WRFrain_PGW_V3_HPE14.mat,0.0270478617342254,fraction
14,historical,2,WRFrain_noPGW_HPE14.mat,0.0319779811097993,fraction
14,future,2,WRFrain_PGW_V3_HPE14.mat,0.0187436573527483,fraction
14,historical,5,WRFrain_noPGW_HPE14.mat,0.0138488587170405,fraction
14,future,5,WRFrain_PGW_V3_HPE14.mat,0.00950980585071494,fraction
14,historical,7.5,WRFrain_noPGW_HPE14.mat,0.00816920503738685,fraction
14,future,7.5,WRFrain_PGW_V3_HPE14.mat,0.00632332415059688,fraction
14,historical,10,WRFrain_noPGW_HPE14.mat,0.00528318247409157,fraction
